// Compost colors for avaritia_delight. You may add your own colors, change existing ones, or remove colors that aren't needed.
blaze_knife, #f7deaa
blaze_tomato, #ffae65
blaze_tomato_sauce, #a87346
blaze_tomato_seeds, #ffa85b
cosmic_beef, #122f44
cosmic_beef_cooked, #708997
crystal_cabbage, #9bf7e4
crystal_cabbage_leaf, #a7fff5
crystal_cabbage_seeds, #a1ffee
crystal_knife, #82deda
diamond_lattice_fries, #52eee4
diamond_lattice_potato, #83fffc
furious_cocktail, #b6ebfc
how_did_we_get_here, #e4ffff
infinity_apple, #9db6b2
infinity_knife, #d3d3de
infinity_large_hamburger, #585e65
infinity_milk, #ffffff
infinity_taco, #656969
neutronium_bowl, #626570
neutronium_bread, #4a4b55
neutronium_knife, #5f829e
neutronium_pot, #484a52
neutronium_wheat, #647382
neutronium_wheat_dough, #5a5b64
neutronium_wheat_seeds, #aaaec5
pasta_with_cosmic_meatballs, #4d8382
raw_crystal_pasta, #96f4ea
slice_of_endless_cake, #446170
