// Compost colors for butcher. You may add your own colors, change existing ones, or remove colors that aren't needed.
allblackcat, #d9d0cf
animalfat, #ffffed
batmeat, #ffffff
batwing, #f4ebe0
bearmeat, #b4967d
blackcat, #f4edeb
blackcatfur, #9b9ba2
blackhorseskin, #9a9ba1
blood_soaked_sponge, #ffedf0
bloodbottle, #ffffff
bloodpuddle, #ffe0e1
bloodpuddle_2, #ffe0e1
bloodpuddlesmall, #ffe0e1
bloodsausage, #9a7d7d
bloodsplatter_1, #ffe0e1
bloodsplatter_10, #ffe0e1
bloodsplatter_2, #ffe0e1
bloodsplatter_3, #ffe0e1
bloodsplatter_4, #ffe0e1
bloodsplatter_5, #ffe0e1
bloodsplatter_6, #ffe0e1
bloodsplatter_7, #ffe0e1
bloodsplatter_8, #ffe0e1
bloodsplatter_9, #ffe0e1
bloodybutchersapron_chestplate, #ffffff
blueaxolotlcarcass, #ffffff
bonebutchersknife, #fffbe0
boneskinningknife, #ffffff
bottledcrushedflowers, #ffffff
bottleof_acid, #ffffff
bottleofchlorine, #ffffff
britishshorthaircat, #ffffff
brokenwishbone, #ffffff
brown_llama_skin, #f4cda1
brownhorseskin, #c29b87
brutearmor_chestplate, #a29784
butchers_knife, #e7e4e3
butchersapron_chestplate, #ffffff
butcherspapers, #ffe1d7
butcherssignoak, #fff7d7
calamari, #fff190
calicocat, #ffffff
calicocatfur, #ffffff
camelcarcassitem, #ffd25b
camelfur, #ffffbe
camelmeat, #f5c8af
camelskeletonitem, #f5d7bf
cavespider, #15322d
cavespiderleg, #90a2a0
chestnuthorseskin, #edb290
chickenbeak, #ffffeb
chickenfoot, #ffffff
chuck_steak, #ccbbae
clothed_pillager_corpse, #736865
codfillet, #ffffff
cooked_dragon_meat, #7c7580
cooked_gray_frog_leg, #938070
cooked_green_frogs_leg, #73755f
cooked_lamb_rib, #fff4ee
cooked_mulemeat, #b59b90
cooked_orange_frog_leg, #a87965
cooked_villager_meat, #fce1d7
cookedbatmeat, #fbc8b5
cookedbloodsausage, #7a7272
cookedblueexolotlmeat, #ffffff
cookedcatmeat, #e3d7d2
cookedcyanaxolotlmeat, #f1f8ff
cookeddonkeymeat, #b8a79e
cookedendermanintestines, #beb9c6
cookedendermankidney, #f1f4cc
cookedendermanliver, #ab7f9a
cookedendermanlungs, #b1a0a8
cookedendermanmeat, #ab9dc3
cookedendermanstomach, #c294af
cookedevokermeat, #eee8e6
cookedgoldaxolotlmeat, #fffff8
cookedguardianmeat, #cddac2
cookedheart, #da9782
cookedhoglinmeat, #ffeedd
cookedhorsemeat, #ffe0d0
cookedhumanmeat, #d4b9b2
cookedintestines, #fee6da
cookedkidney, #ffe4ca
cookedliver, #e0bb98
cookedlucyaxolotlmeat, #ffffff
cookedlungs, #e0bca7
cookedmincebeef, #e0cfc3
cookedmincedlamb, #fbedde
cookedocelotmeat, #e3d7d2
cookedpillagermeat, #eee8e6
cookedsalmon, #fffae3
cookedsausages, #a78d83
cookedshulkermeat, #fff5d7
cookedsilverfishchunks, #ffffff
cookedsniffermeat, #b69a8d
cookedspiderleg, #988c87
cookedstomach, #ffc5a4
cookedstridermeat, #fbe0e3
cookedturtlemeat, #dde4d6
cookedwildaxolotlmeat, #fffffc
cookedwolfmeat, #c3b5af
cow_0leg, #78685a
cow_1_leg, #78685a
cow_2leg, #78685a
cow_3_leg, #78685a
cow_chuck, #78685a
cow_headless, #78685a
cow_ribsteak, #78685a
cow_rump, #78685a
cow_shortplate, #78685a
cow_sirloin, #78685a
cow_skin, #ebcfc6
cow_tbone, #78685a
cowcorpse, #78685a
cowhoof, #ffffff
creamyhorseskin, #f5cfa2
creamyllamaskin, #ffffff
creepercarcass, #b8aa78
creeperleg, #f2ffe6
creepermeat, #abd498
crushedflowers, #fbeef7
cyanaxolotlcarcass, #ffffff
darkbrownhorseskin, #a29189
dolphinmeat, #dde0e7
donkeycarcass, #f8ede7
donkeyskin, #dccfc3
dragonbone, #e4e4e4
dragonscale, #b2b1b2
dragonscalearmor_boots, #dcd9dd
dragonscalearmor_chestplate, #a49ea7
dragonscalearmor_helmet, #e8e7ea
dragonscalearmor_leggings, #dedce0
dragonscaleingot, #8c8c8c
dragonsmithingtemplate, #a19ba4
drained_hanging_cow, #78685a
drained_mulecarcass, #b2a09e
drained_pillager_corpse, #ffffff
drained_zombie_corpse, #f4ffff
drained_zombievillager, #9da090
drainedblueaxolotlcarcass, #ffffff
drainedcamelcarcassitem, #ffd25b
drainedcat, #c9acaa
drainedcreepercarcass, #bf9e82
drainedcyanaxolotlcarcass, #ffffff
draineddonkeycarcass, #b2a09e
draineddrownedcorpse, #fbfcf4
drainedenderman, #706f79
drainedevokercorpse, #ffffff
drainedgoldaxolotlcarcass, #ffffff
drainedguardiancarcass, #a7c0ab
drainedhorsecarcassitem, #b2a09e
drainedhuskcorpse, #ffffff
drainedlucyaxolotlcarcass, #ffffff
drainedocelotcarcass, #c9acaa
drainedphantomcarcass, #72738c
drainedpiglinbrutecarcass, #eac3b2
drainedpiglincorpse, #e3b6a2
drainedplayercorpseitem, #fffff7
drainedsniffercarcass, #ffeae1
drainedstridercarcass, #ab969e
drainedwildaxolotlcarcass, #ffffff
drainedwitchcorpse, #d2c9d0
drainedwolfcarcass, #8c7873
drainedzombiepiglincorpse, #eebfaf
drownedcorpse, #f7fffb
elder_meat, #feebcc
elder_spike, #ffffff
eldereye, #ffffff
elderguardianeye_helmet, #ffffff
end_dragon_corpse, #6f6e6f
endermancarcass, #706f79
endermanheart, #93b1c2
endermanintestines, #e0d9f5
endermankidney, #ffffde
endermanliver, #b8a2f1
endermanlungs, #f5d7f2
endermanmeat, #c2aed7
endermanstomach, #ead2ff
evokercorpse, #626561
evokerdisguise_boots, #ffffff
evokerdisguise_chestplate, #a4a193
evokerdisguise_helmet, #ffffff
evokerdisguise_leggings, #dde7e7
fired_cleaver_mold, #c6c0b5
firedpliermould, #c9c3b8
firedskinningknifemold, #c6c0b5
foxfur, #ffffe8
foxmeat, #f2dad3
frog_heart, #c59191
frogsleg, #91b17c
glowtentacle, #ffffff
goatfur, #ffffff
goldaxolotlcarcass, #ffffff
gray_frog_leg, #cfd0bf
gray_llama_skin, #ffffff
grayhorseskin, #c9c9c9
guardiancarcass, #a7c0ab
guardianspike, #fffff7
halloweencleaver, #e4c5c0
ham, #ffeac3
hammer, #ffffff
hanging_cow_corpse, #78685a
hanging_cow_right, #6c1b1b
hanging_cow_right_left, #6c1b1b
hanging_cow_right_left_middle, #6c1b1b
hangingcowheadless, #6c1b1b
heart, #c59191
