// Compost colors for createchromaticreturn. You may add your own colors, change existing ones, or remove colors that aren't needed.
annealed_mechanism, #5262ac
antiplite_charm, #8a4a55
antiplite_ingot, #d297a4
axe_cast, #5e5069
bamboo_shadow_steel_paxel, #bbcca4
bamboo_shadow_steel_sword, #c6cac9
bedrock_charm_base, #54545a
bedrock_shard, #cac9d2
blade_cast, #5f526c
blazing_shadow_steel_paxel, #f5c296
blazing_shadow_steel_sword, #c8bcc3
bone_shadow_steel_paxel, #e6e3d7
bone_shadow_steel_sword, #d9d4dd
carbon_powder, #f0f0f0
charm_base, #fffff1
charm_cast, #50435c
chromatic_compound, #ffe1f5
creative_flour, #feb5ff
cyber_plating, #f7f7ff
durasteel_book, #e6c5ae
durasteel_charm_cast, #553039
durasteel_handle, #ffeef2
durasteel_ingot, #805265
durasteel_shadow_steel_paxel, #e7cacf
durasteel_shadow_steel_sword, #cfc2d4
fortunite_bar, #ffffda
four_leaf_clover, #ffffff
glowing_ingot, #ffffff
handle_cast, #4a3c57
hoe_cast, #51435e
industrium_book, #eacfaf
industrium_charm, #ffffe7
industrium_handle, #f2f1f2
industrium_ingot, #eeebe3
industrium_shadow_steel_paxel, #ccc9d0
industrium_shadow_steel_sword, #cdc9d7
magmatic_mechanism, #a25b48
multiplite_charm, #ffffff
multiplite_handle, #ffffff
multiplite_ingot, #ff8eff
multiplite_shadow_steel_paxel, #ffffff
multiplite_shadow_steel_sword, #ffffff
multiplite_tube, #ffffff
paxel_cast, #685b73
pickaxe_cast, #64576f
plating_cast, #7c7086
plutonium_nugget, #ffffff
polonium_nugget, #ffffff
refined_charm, #ffffff
refined_handle, #ffffff
refined_mechanism, #e1ebff
refined_radiance, #ffffff
refined_shadow_steel_paxel, #5a526f
refined_shadow_steel_sword, #bfbbd0
shadow_charm, #fffff8
shadow_mechanism, #64616e
shadow_steel, #524b6b
shadow_steel_blade, #bfbbc3
shadow_steel_paxel, #cfc8cd
shadow_steel_paxel_head, #ffffff
shadow_steel_powder, #b8c3d7
shadow_steel_sword, #c0b9c8
shovel_cast, #5a4b65
silkstrum, #fffffe
silkstrum_book, #f1d7be
silkstrum_charm, #ffffff
silkstrum_handle, #ffffff
silkstrum_shadow_steel_paxel, #fff8fc
silkstrum_shadow_steel_sword, #f5f0ff
