// Compost colors for createfood. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_cheesecake, #ff9b64
apple_cheesecake_slice, #ffb98e
apple_cream_chocolate, #dd7f62
apple_cream_chocolate_pastry_bar, #b67c33
apple_cream_dark_chocolate, #835430
apple_cream_frosted_chocolate_cupcake, #cfbc7d
apple_cream_frosted_chocolate_sweet_roll, #f8e8a4
apple_cream_frosted_cupcake, #ffdd91
apple_cream_frosted_mini_waffle, #ffd27a
apple_cream_frosted_sweet_roll, #ffffab
apple_cream_frosting_bottle, #fffff8
apple_cream_frosting_bucket, #e1e0b8
apple_cream_glazed_chocolate_donut, #f7e197
apple_cream_glazed_donut, #fffb9a
apple_cream_pastry_bar, #ffb444
apple_cream_white_chocolate, #ffe3af
apple_ice_cream_bowl, #bbaa66
apple_ice_cream_bucket, #d9dabf
apple_ice_cream_cone, #ffe88e
apple_ice_cream_sandwich, #a05e1e
apple_ice_cream_stick, #a08d5a
apple_jam_bottle, #fffffe
apple_jam_bucket, #d0d2a0
apple_jam_sandwich, #caa448
apple_juice_bottle, #faffe3
apple_juice_bucket, #c8c3ac
apple_milkshake_bottle, #fffffb
apple_milkshake_bucket, #d7d0ae
apple_pie_filling_bucket, #be979a
apple_popsicle, #e3c972
apple_slice, #ffe09e
bacon_bits, #e0725c
bacon_calzone, #dca066
bacon_pizza, #ffb632
bacon_pizza_slice, #f1a820
bacon_sandwich, #ca8a43
bacon_sandwich_lettuce, #bc8e3c
baked_potato_butter, #ffc546
baked_potato_butter_cheese, #ffc239
baked_potato_butter_fish, #ffb451
baked_potato_butter_fried_egg, #ffbf5e
baked_potato_butter_mushroom, #f4a441
bar_of_dark_chocolate, #662f14
bar_of_white_chocolate, #ffdeb6
beef_bun, #905533
beef_bun_bacon, #a0583e
beef_bun_bacon_lettuce, #896b3a
beef_bun_bacon_lettuce_tomato, #9d5c3d
beef_bun_cheese_tomato, #d67833
beef_bun_lettuce, #66762d
beef_bun_lettuce_tomato, #946534
beef_bun_onion, #d49465
beef_bun_onion_bacon, #c3795a
beef_bun_onion_bacon_lettuce, #977644
beef_bun_onion_lettuce, #7d893d
beef_bun_onion_lettuce_tomato, #a57540
beef_bun_peanut_butter, #ab5e1e
beef_bun_peanut_butter_bacon, #af5e34
beef_bun_tomato, #ae5537
berry_cream_cake_chorus_fruit, #ffcdd3
berry_cream_cake_glow_berry, #ffd7c2
berry_cream_cake_slice_chorus_fruit, #faa08c
berry_cream_cake_slice_glow_berry, #fba182
berry_cream_cake_slice_sweet_berry, #fba182
berry_cream_cake_sweet_berry, #ffcdc2
berry_cream_chocolate, #dd6c62
berry_cream_chocolate_pastry_bar, #b87633
berry_cream_dark_chocolate, #834130
berry_cream_frosted_cake, #ffe3d7
berry_cream_frosted_chocolate_cupcake, #dc9aa5
berry_cream_frosted_chocolate_sweet_roll, #f8b2b1
berry_cream_frosted_chocolate_sweet_roll_sweet_berry, #cf7d7a
berry_cream_frosted_cupcake, #ffbbb9
berry_cream_frosted_mini_waffle, #ffb698
berry_cream_frosted_mini_waffle_sweet_berry, #f88a68
berry_cream_frosted_sweet_roll, #ffccb8
berry_cream_frosted_sweet_roll_sweet_berry, #fe9780
berry_cream_frosting_bottle, #ffedfc
berry_cream_frosting_bucket, #edc6c6
berry_cream_glazed_chocolate_donut, #fcaea2
berry_cream_glazed_donut, #ffc6a5
berry_cream_pastry_bar, #ffae44
berry_cream_white_chocolate, #ffd0af
berry_ice_cream_bowl, #c39180
berry_ice_cream_bucket, #dec6d2
berry_ice_cream_cone, #ffc3b8
berry_ice_cream_sandwich, #a84e2d
berry_ice_cream_stick, #a07c69
berry_jam_bottle, #fff7ff
berry_jam_bucket, #d3b5bb
berry_jam_sandwich, #d09a54
berry_juice_bottle, #f1dae8
berry_juice_bucket, #c5abae
berry_milkshake_bottle, #ffe4fa
berry_milkshake_bucket, #ddc5d9
berry_pie, #ffb175
berry_pie_filling_bucket, #cc9bb1
berry_pie_slice, #ff9b5a
berry_popsicle, #ffb8aa
biscuit, #d4aa3c
black_gelatin_dessert_slice, #232328
black_gelatin_mix_bucket, #949494
blackstrap_molasses_bottle, #9898a2
blackstrap_molasses_bucket, #938c8a
blue_gelatin_dessert_slice, #40e6ff
blue_gelatin_mix_bucket, #96a8ae
boiled_egg, #ffffc3
boiled_egg_peeled, #ffffff
bread_carrot, #a8731c
bread_crumbs, #bc9154
bread_fried_egg, #be9141
bread_lettuce, #948026
bread_lettuce_carrot, #9d7922
bread_slice, #d6a23e
bread_slice_apple_jam, #d7c268
bread_slice_bacon, #c06e4a
bread_slice_bacon_lettuce, #a56f4a
bread_slice_bacon_lettuce_tomato, #ca6e50
bread_slice_beetroot, #b56c32
bread_slice_beetroot_lettuce, #7d6c2f
bread_slice_berry_jam, #e8a58e
bread_slice_cheese, #f2b616
bread_slice_chorus_fruit_jam, #bc6697
bread_slice_glow_berry_jam, #e6a54e
bread_slice_honey, #e8a712
bread_slice_lettuce, #6e9630
bread_slice_lettuce_tomato, #a57c39
bread_slice_melon_jam, #da6651
bread_slice_mutton, #ab5a33
bread_slice_mutton_beetroot, #9d462f
bread_slice_peanut_butter, #b8641c
bread_slice_tomato, #e08443
breakfast_bar, #875f2d
breakfast_plate, #d4a450
breakfast_sausages, #683e2d
brown_gelatin_dessert_slice, #a1663d
brown_gelatin_mix_bucket, #9e9a96
brown_sugar, #f4781f
bun, #c08e2a
butter, #ffea5f
butter_dough, #ffffc9
butter_dough_small, #ffffc2
buttered_toast, #daa01b
butterscotch, #f79e44
butterscotch_bucket, #d3b493
