// Compost colors for dtterralith. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_seed, #ffffff
ancient_seed, #ffffff
birch_pine_seed, #f5f0cc
black_poplar_seed, #ffffff
blue_pine_seed, #def2f8
cedar_seed, #fffffb
dwarf_pine_seed, #ffffff
dwarf_spruce_seed, #fcf4e4
ebony_seed, #aca790
jacaranda_seed, #f0ebf5
kapok_seed, #e0d7d4
larch_seed, #ccbfb1
lush_acacia_seed, #ffffff
maple_seed, #fce8dd
mirage_seed, #ffffff
moonlight_pine_seed, #dde4d4
moonlight_spruce_seed, #daebda
oasis_seed, #ffffff
orange_pine_seed, #ffeed3
poplar_seed, #ffffff
red_pine_seed, #ffd7d6
sakura_seed, #fffffe
silverleaf_poplar_seed, #ffffff
