// Compost colors for icarus. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_dragon_wings, #fafcfc
black_feathered_wings, #ffffff
black_light_wings, #ffffff
black_mechanical_feathered_wings, #807878
black_mechanical_leather_wings, #615858
blue_dragon_wings, #fafcfc
blue_feathered_wings, #ffffff
blue_light_wings, #ffffff
blue_mechanical_feathered_wings, #807878
blue_mechanical_leather_wings, #615858
brown_dragon_wings, #fafcfc
brown_feathered_wings, #ffffff
brown_light_wings, #ffffff
brown_mechanical_feathered_wings, #807878
brown_mechanical_leather_wings, #615858
cyan_dragon_wings, #fafcfc
cyan_feathered_wings, #ffffff
cyan_light_wings, #ffffff
cyan_mechanical_feathered_wings, #807878
cyan_mechanical_leather_wings, #615858
discords_wings, #6176cd
flandres_wings, #d4787d
gray_dragon_wings, #fafcfc
gray_feathered_wings, #ffffff
gray_light_wings, #ffffff
gray_mechanical_feathered_wings, #807878
gray_mechanical_leather_wings, #615858
green_dragon_wings, #fafcfc
green_feathered_wings, #ffffff
green_light_wings, #ffffff
green_mechanical_feathered_wings, #807878
green_mechanical_leather_wings, #615858
light_blue_dragon_wings, #fafcfc
light_blue_feathered_wings, #ffffff
light_blue_light_wings, #ffffff
light_blue_mechanical_feathered_wings, #807878
light_blue_mechanical_leather_wings, #615858
light_gray_dragon_wings, #fafcfc
light_gray_feathered_wings, #ffffff
light_gray_light_wings, #ffffff
light_gray_mechanical_feathered_wings, #807878
light_gray_mechanical_leather_wings, #615858
lime_dragon_wings, #fafcfc
lime_feathered_wings, #ffffff
lime_light_wings, #ffffff
lime_mechanical_feathered_wings, #807878
lime_mechanical_leather_wings, #615858
magenta_dragon_wings, #fafcfc
magenta_feathered_wings, #ffffff
magenta_light_wings, #ffffff
magenta_mechanical_feathered_wings, #807878
magenta_mechanical_leather_wings, #615858
orange_dragon_wings, #fafcfc
orange_feathered_wings, #ffffff
orange_light_wings, #ffffff
orange_mechanical_feathered_wings, #807878
orange_mechanical_leather_wings, #615858
pink_dragon_wings, #fafcfc
pink_feathered_wings, #ffffff
pink_light_wings, #ffffff
pink_mechanical_feathered_wings, #807878
pink_mechanical_leather_wings, #615858
purple_dragon_wings, #fafcfc
purple_feathered_wings, #ffffff
purple_light_wings, #ffffff
purple_mechanical_feathered_wings, #807878
purple_mechanical_leather_wings, #615858
red_dragon_wings, #fafcfc
red_feathered_wings, #ffffff
red_light_wings, #ffffff
red_mechanical_feathered_wings, #807878
red_mechanical_leather_wings, #615858
white_dragon_wings, #fafcfc
white_feathered_wings, #ffffff
white_light_wings, #ffffff
white_mechanical_feathered_wings, #807878
white_mechanical_leather_wings, #615858
yellow_dragon_wings, #fafcfc
yellow_feathered_wings, #ffffff
yellow_light_wings, #ffffff
yellow_mechanical_feathered_wings, #807878
yellow_mechanical_leather_wings, #615858
zanzas_wings, #ffff87
