// Compost colors for industrialupgrade. You may add your own colors, change existing ones, or remove colors that aren't needed.
additionmodule/charger, #ebeba8
additionmodule/mov_charge_eu, #afaab5
additionmodule/mov_charge_eu_item, #abc6f0
additionmodule/mov_charge_rf, #c5a49e
additionmodule/mov_charge_rf_item, #eab2a2
additionmodule/personality, #c3b6d2
additionmodule/purifier, #d9ccaf
additionmodule/rf, #d2b8b8
additionmodule/tier_de, #b8cadd
additionmodule/tier_in, #e1b8b8
additionmodule/wireless, #a0cfda
adv_bee_frame_template, #e4b870
adv_motors_with_improved_bearings_, #fac62d
adv_spectral_box, #bf879b
alloycasing/alcled, #a1d625
alloycasing/alumel, #ffea68
alloycasing/aluminium_lithium_alloy, #d26c9d
alloycasing/aluminium_silicon, #726676
alloycasing/aluminum_bronze, #f0daa4
alloycasing/beryllium_bronze, #cfb46e
alloycasing/cobalt_chrome, #c787c
alloycasing/duralumin, #8e2a79
alloycasing/ferromanganese, #9b87bb
alloycasing/gallium_arsenic, #c58e07
alloycasing/hafnium_boride_alloy, #87a8ae
alloycasing/hafnium_carbide, #269bc6
alloycasing/inconel, #acea41
alloycasing/molybdenum_steel, #e8a0ff
alloycasing/muntsa, #af9a04
alloycasing/nichrome, #d6bfb1
alloycasing/nimonic, #80616b
alloycasing/niobium_titanium, #f90d9
alloycasing/nitenol, #d7b46b
alloycasing/osmiridium, #8ec5f5
alloycasing/permalloy, #938765
alloycasing/red_brass, #ff5f61
alloycasing/stainless_steel, #969ac3
alloycasing/stellite, #fc9b1
alloycasing/superalloy_haynes, #ffd4b1
alloycasing/superalloy_rene, #ffffb1
alloycasing/tantalum_tungsten_hafnium, #91d6c8
alloycasing/vanadoalumite, #ffbb52
alloycasing/vitalium, #47b5b8
alloycasing/woods, #ac9d82
alloycasing/yttrium_aluminium_garnet, #ff91b2
alloycasing/zeliber, #ffe3ae
alloydoubleplate/alcled, #9dd020
alloydoubleplate/alumel, #ffe15f
alloydoubleplate/aluminium_lithium_alloy, #c96896
alloydoubleplate/aluminium_silicon, #6c6270
alloydoubleplate/aluminum_bronze, #ead39d
alloydoubleplate/beryllium_bronze, #c3aa66
alloydoubleplate/cobalt_chrome, #a7378
alloydoubleplate/duralumin, #8a2976
alloydoubleplate/ferromanganese, #9783b6
alloydoubleplate/gallium_arsenic, #bb8607
alloydoubleplate/hafnium_boride_alloy, #82a1a7
alloydoubleplate/hafnium_carbide, #2393bc
alloydoubleplate/inconel, #aae03d
alloydoubleplate/molybdenum_steel, #da93ff
alloydoubleplate/muntsa, #aa9704
alloydoubleplate/nichrome, #d0b8aa
alloydoubleplate/nimonic, #7c5e68
alloydoubleplate/niobium_titanium, #118acd
alloydoubleplate/nitenol, #c9a766
alloydoubleplate/osmiridium, #87bceb
alloydoubleplate/permalloy, #8c805f
alloydoubleplate/red_brass, #fc5b5c
alloydoubleplate/stainless_steel, #8286ab
alloydoubleplate/stellite, #cbca8
alloydoubleplate/superalloy_haynes, #ffcaa8
