// Compost colors for integrated_simply_swords. You may add your own colors, change existing ones, or remove colors that aren't needed.
born_in_chaos/dark_metal/chakram, #615f6b
born_in_chaos/dark_metal/claymore, #4e4050
born_in_chaos/dark_metal/cutlass, #473644
born_in_chaos/dark_metal/glaive, #4b2c3e
born_in_chaos/dark_metal/greataxe, #543a4b
born_in_chaos/dark_metal/halberd, #4b3343
born_in_chaos/dark_metal/katana, #4d3747
born_in_chaos/dark_metal/longsword, #514050
born_in_chaos/dark_metal/rapier, #392f3d
born_in_chaos/dark_metal/sai, #3c303e
born_in_chaos/dark_metal/scythe, #503747
born_in_chaos/dark_metal/spear, #4a293c
born_in_chaos/dark_metal/twinblade, #523948
born_in_chaos/dark_metal/warglaive, #524d5a
iceandfire/dragonbone/chakram, #948c84
iceandfire/dragonbone/claymore, #a59b91
iceandfire/dragonbone/cutlass, #a79d93
iceandfire/dragonbone/glaive, #8c807c
iceandfire/dragonbone/greataxe, #afa496
iceandfire/dragonbone/halberd, #897d79
iceandfire/dragonbone/katana, #afa497
iceandfire/dragonbone/longsword, #a0968d
iceandfire/dragonbone/rapier, #7c7270
iceandfire/dragonbone/sai, #ffffff
iceandfire/dragonbone/scythe, #ab9e93
iceandfire/dragonbone/spear, #807675
iceandfire/dragonbone/twinblade, #a59a91
iceandfire/dragonbone/warglaive, #c6bba7
iceandfire/dragonbone_fire/chakram, #dc6622
iceandfire/dragonbone_fire/claymore, #f16c19
iceandfire/dragonbone_fire/cutlass, #ff6414
iceandfire/dragonbone_fire/glaive, #bf5f29
iceandfire/dragonbone_fire/greataxe, #e36c20
iceandfire/dragonbone_fire/halberd, #ae5830
iceandfire/dragonbone_fire/katana, #f76916
iceandfire/dragonbone_fire/longsword, #e3661e
iceandfire/dragonbone_fire/rapier, #c65b23
iceandfire/dragonbone_fire/sai, #ffe4ca
iceandfire/dragonbone_fire/scythe, #e0611f
iceandfire/dragonbone_fire/spear, #ab5b32
iceandfire/dragonbone_fire/twinblade, #ed6b1e
iceandfire/dragonbone_fire/warglaive, #ff6f12
iceandfire/dragonbone_ice/chakram, #6887a4
iceandfire/dragonbone_ice/claymore, #7ca8c3
iceandfire/dragonbone_ice/cutlass, #7aa2c0
iceandfire/dragonbone_ice/glaive, #708aa1
iceandfire/dragonbone_ice/greataxe, #789eb8
iceandfire/dragonbone_ice/halberd, #65788c
iceandfire/dragonbone_ice/katana, #80acca
iceandfire/dragonbone_ice/longsword, #789eb9
iceandfire/dragonbone_ice/rapier, #5f708a
iceandfire/dragonbone_ice/sai, #faffff
iceandfire/dragonbone_ice/scythe, #7aa0b9
iceandfire/dragonbone_ice/spear, #6c849d
iceandfire/dragonbone_ice/twinblade, #7fa8c6
iceandfire/dragonbone_ice/warglaive, #8abbd6
iceandfire/dragonbone_lightning/chakram, #986ff8
iceandfire/dragonbone_lightning/claymore, #b972ff
iceandfire/dragonbone_lightning/cutlass, #a575ff
iceandfire/dragonbone_lightning/glaive, #8e64de
iceandfire/dragonbone_lightning/greataxe, #a866f7
iceandfire/dragonbone_lightning/halberd, #7d5ebb
iceandfire/dragonbone_lightning/katana, #bb75ff
iceandfire/dragonbone_lightning/longsword, #ab6bff
iceandfire/dragonbone_lightning/rapier, #725edd
iceandfire/dragonbone_lightning/sai, #faf2ff
iceandfire/dragonbone_lightning/scythe, #9065ff
iceandfire/dragonbone_lightning/spear, #8661cf
iceandfire/dragonbone_lightning/twinblade, #a773ff
iceandfire/dragonbone_lightning/warglaive, #ab72ff
iceandfire/dragonsteel_fire/chakram, #58515a
iceandfire/dragonsteel_fire/claymore, #6e655c
iceandfire/dragonsteel_fire/cutlass, #8d7f68
iceandfire/dragonsteel_fire/glaive, #756657
iceandfire/dragonsteel_fire/greataxe, #f2c868
iceandfire/dragonsteel_fire/halberd, #af905e
