// Compost colors for strainers. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_mesh, #9364e6
bamboo_mesh, #c8fc6c
copper_mesh, #d0613d
deepslate_pebble, #626165
diamond_mesh, #65ffff
echo_mesh, #e3a44
emerald_mesh, #22ff84
eroding_salt_mulch, #aeb5cf
eroding_water_bucket, #bbbcc5
everlasting_duration_upgrade, #f5ffcd
everlasting_everything_upgrade, #fffbea
everlasting_input_upgrade, #eefaff
everlasting_mesh_upgrade, #ffe1e3
everlasting_output_upgrade, #ffffe1
flint_mesh, #acacac
gold_mesh, #fff03e
improved_duration_upgrade, #f4ffd3
improved_everything_upgrade, #fffff0
improved_input_upgrade, #eeffff
improved_mesh_upgrade, #fff0e8
improved_output_upgrade, #ffffe7
iron_mesh, #d4e6e6
leafy_mesh, #32ac07
netherite_mesh, #434043
purified_water_bucket, #bba8bb
purifying_salt_mulch, #905191
quartz_mesh, #b9a79b
reinforced_duration_upgrade, #e6ffe1
reinforced_everything_upgrade, #f7fffc
reinforced_input_upgrade, #e0ffff
reinforced_mesh_upgrade, #fff4f7
reinforced_output_upgrade, #fffff4
specialized_input_upgrade, #a5b2a0
specialized_mesh_upgrade, #b49e8d
specialized_output_upgrade, #b4ac93
specialized_speed_upgrade, #a7ac8d
stone_pebble, #9a9a9a
string_mesh, #ffffff
sturdy_duration_upgrade, #e7ffcd
sturdy_everything_upgrade, #f8ffea
sturdy_input_upgrade, #e1ffff
sturdy_mesh_upgrade, #fff0e3
sturdy_output_upgrade, #ffffe1
