mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
simplemagnets,Simple Magnets,1.1.12,simplemagnets-1.1.12-forge-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/simple-magnets,https://github.com/SuperMartijn642/SimpleMagnets/issues
tinkerslevellingaddon,Tinkers' Levelling Addon,1.4.3,TinkersLevellingAddon-1.20.1-1.4.3.jar,,https://www.curseforge.com/minecraft/mc-mods/tinkers-levelling-addon/,https://github.com/Pyre540/tinkers-levelling-addon/issues
integratedterminals,IntegratedTerminals,1.6.8,IntegratedTerminals-1.20.1-1.6.8.jar,,,https://github.com/CyclopsMC/IntegratedTerminals/issues
integratedterminalscompat,IntegratedTerminalsCompat,1.6.8,IntegratedTerminals-1.20.1-1.6.8.jar,,,https://github.com/CyclopsMC/IntegratedTerminals/issues
hammerlib,HammerLib,20.1.50,HammerLib-1.20.1-20.1.50.jar,,https://modrinth.com/mod/PlkSuVtM,https://github.com/dragon-forge/HammerLib/issues
projecte,ProjectE,1.0.1,ProjectE-1.20.1-PE1.0.1.jar,,https://github.com/sinkillerj/ProjectE,https://github.com/sinkillerj/ProjectE/issues
woodenhopper,Wooden Hopper,1.20.1-1.6.0.1,woodenhopper-1.20.1-1.6.0.1.jar,,https://github.com/cech12/WoodenHopper,https://github.com/cech12/WoodenHopper/issues
laserio,LaserIO,1.6.8,laserio-1.6.8.jar,,https://github.com/Direwolf20-MC/LaserIO,
forgeendertech,ForgeEndertech,11.1.7.0,ForgeEndertech-1.20.1-11.1.7.0-build.1348.jar,,https://www.curseforge.com/minecraft/mc-mods/forgeendertech,https://www.curseforge.com/minecraft/mc-mods/forgeendertech/issues
modernfix,ModernFix,5.24.1+mc1.20.1,modernfix-forge-5.24.1+mc1.20.1.jar,,https://modrinth.com/mod/modernfix,https://github.com/embeddedt/ModernFix/issues
yungsapi,YUNG's API,1.20-Forge-4.0.6,YungsApi-1.20-Forge-4.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api,https://github.com/yungnickyoung/YUNGs-Api/issues
mcwstairs,Macaw's Stairs and Balconies,1.0.1,mcw-stairs-1.0.1-1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-stairs,
botanypotstiers,BotanyPotsTiers,6.0.1,BotanyPotsTiers-Forge-1.20.1-6.0.2.jar,,https://www.curseforge.com/minecraft/mc-mods/botany-pots-tiers,https://github.com/starforcraft/Botany-Pots-Tiers/issues
wstweaks,Wither Skeleton Tweaks,9.1.0,WitherSkeletonTweaks-1.20.1-9.1.0.jar,,,
kubejspowah,KubeJSPowah,1.2.1,kubejspowah-1.2.1.jar,,,
excompressum,ExCompressum,20.1.9,excompressum-forge-1.20.1-20.1.9.jar,,https://mods.twelveiterations.com/mc/ex-compressum,https://github.com/ModdingForBlockheads/ExCompressum/issues
darkutils,DarkUtilities,17.0.5,DarkUtilities-Forge-1.20.1-17.0.5.jar,,https://www.curseforge.com/minecraft/mc-mods/dark-utilities,https://github.com/Darkhax-Minecraft/Dark-Utilities/issues
createdieselgenerators,Create Diesel Generators,1.20.1-1.3.2,createdieselgenerators-1.20.1-1.3.2.jar,,https://www.curseforge.com/minecraft/mc-mods/create-diesel-generators,https://github.com/george8188625/Create-Diesel-Generators/issues/
apotheosis,Apotheosis,7.4.8,Apotheosis-1.20.1-7.4.8.jar,,,
ldlib,LowDragLib,1.0.40,ldlib-forge-1.20.1-1.0.40.jar,,https://github.com/Low-Drag-MC/,
create_new_age,Create: New Age,1.1.4,create-new-age-forge-1.20.1-1.1.4.jar,,http://antarcticgardens.org/,https://gitlab.com/antarcticgardens/create-new-age
createbetterfps,CreateBetterFps,1.1.1,createbetterfps-1.20.1-1.1.1.jar,,,
betterfortresses,YUNG's Better Nether Fortresses,1.20-Forge-2.0.6,YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses,https://github.com/yungnickyoung/YUNGs-Better-Fortresses/issues
havenede,HavenExDeorumExpansion,1.0.0,HavenExDeorumExpansion-1.20.1-1.0.0.jar,,,
cloth_config,Cloth Config v10 API,11.1.136,cloth-config-11.1.136-forge.jar,,,https://github.com/architectury/ClothConfig/issues/
durabilitytooltip,Durability Tooltip,1.1.5,durabilitytooltip-1.1.5-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/durability-tooltip,https://github.com/SuperMartijn642/DurabilityTooltip/issues
easy_piglins,Easy Piglins,1.20.1-1.0.13,easy-piglins-forge-1.20.1-1.0.13.jar,,https://www.curseforge.com/minecraft/mc-mods/easy-piglins,https://github.com/henkelmax/easy-piglins/issues
industrialforegoing,Industrial Foregoing,3.5.19,industrial-foregoing-1.20.1-3.5.19.jar,,,
handcrafted,Handcrafted,3.0.6,handcrafted-forge-1.20.1-3.0.6.jar,,https://modrinth.com/mod/handcrafted,https://github.com/terrarium-earth/handcrafted/issues
create_deep_dark,Create: Deep Dark,1.7.0,create_deep_dark-1.7.0-forge-1.20.1.jar,,https://www.curseforge.com/members/robinfrt/projects,
mutated_items,Mutated Items,3.0.0,Mutated-Items-3.0.0-forge-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/items-to-mobs,
aquatictorches,Aquatic Torches,1.1.1,aquatictorches-1.20.1-forge-1.1.1.jar,,https://www.curseforge.com/minecraft/mc-mods/aquatic-torches,
botania,Botania,1.20.1-448-FORGE,Botania-1.20.1-448-FORGE.jar,,https://botaniamod.net,https://github.com/Vazkii/Botania/issues
integratedscripting,IntegratedScripting,1.0.14,IntegratedScripting-1.20.1-1.0.14.jar,,,https://github.com/CyclopsMC/IntegratedScripting/issues
spark,spark,1.10.53,spark-1.10.53-forge.jar,,,
advancednetherite,Advanced Netherite,2.1.3,advancednetherite-forge-2.1.3-1.20.1.jar,,https://github.com/Autovw/AdvancedNetherite/wiki,https://github.com/Autovw/AdvancedNetherite/issues
trading_floor,Create: Trading Floor,2.0.4,trading_floor-forge-1.20.1-2.0.4.jar,,https://modrinth.com/mod/create-trading-floor,https://github.com/cakeGit/Create-Trading-Floor/issues
advgenerators,Advanced Generators,1.6.0.6,advgenerators-1.6.0.6-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/advanced-generators,https://github.com/bdew-minecraft/generators/issues
